,DATE,^GSPC Close
0,2024-12-03,6049.8798828125
1,2024-12-04,6086.490234375
2,2024-12-05,6075.10986328125
3,2024-12-06,6090.27001953125
4,2024-12-09,6052.85009765625
5,2024-12-10,6034.91015625
6,2024-12-11,6084.18994140625
7,2024-12-12,6051.25
8,2024-12-13,6051.08984375
9,2024-12-16,6074.080078125
10,2024-12-17,6050.60986328125
11,2024-12-18,5872.16015625
12,2024-12-19,5867.080078125
13,2024-12-20,5930.85009765625
14,2024-12-23,5974.06982421875
15,2024-12-24,6040.0400390625
16,2024-12-26,6037.58984375
17,2024-12-27,5970.83984375
18,2024-12-30,5906.93994140625
19,2024-12-31,5881.6298828125
20,2025-01-02,5868.5498046875
21,2025-01-03,5942.47021484375
22,2025-01-06,5975.3798828125
23,2025-01-07,5909.02978515625
24,2025-01-08,5918.25
25,2025-01-10,5827.0400390625
26,2025-01-13,5836.22021484375
27,2025-01-14,5842.91015625
28,2025-01-15,5949.91015625
29,2025-01-16,5937.33984375
30,2025-01-17,5996.66015625
31,2025-01-21,6049.240234375
32,2025-01-22,6086.3701171875
33,2025-01-23,6118.7099609375
34,2025-01-24,6101.240234375
35,2025-01-27,6012.27978515625
36,2025-01-28,6067.7001953125
37,2025-01-29,6039.31005859375
38,2025-01-30,6071.169921875
39,2025-01-31,6040.52978515625
40,2025-02-03,5994.56982421875
41,2025-02-04,6037.8798828125
42,2025-02-05,6061.47998046875
43,2025-02-06,6083.56982421875
44,2025-02-07,6025.990234375
45,2025-02-10,6066.43994140625
46,2025-02-11,6068.5
47,2025-02-12,6051.97021484375
48,2025-02-13,6115.06982421875
49,2025-02-14,6114.6298828125
50,2025-02-18,6129.580078125
51,2025-02-19,6144.14990234375
52,2025-02-20,6117.52001953125
53,2025-02-21,6013.1298828125
54,2025-02-24,5983.25
55,2025-02-25,5955.25
56,2025-02-26,5956.06005859375
57,2025-02-27,5861.56982421875
58,2025-02-28,5954.5
59,2025-03-03,5849.72021484375
60,2025-03-04,5778.14990234375
61,2025-03-05,5842.6298828125
62,2025-03-06,5738.52001953125
63,2025-03-07,5770.2001953125
64,2025-03-10,5614.56005859375
65,2025-03-11,5572.06982421875
66,2025-03-12,5599.2998046875
67,2025-03-13,5521.52001953125
68,2025-03-14,5638.93994140625
69,2025-03-17,5675.1201171875
70,2025-03-18,5614.66015625
71,2025-03-19,5675.2900390625
72,2025-03-20,5662.89013671875
73,2025-03-21,5667.56005859375
74,2025-03-24,5767.56982421875
75,2025-03-25,5776.64990234375
76,2025-03-26,5712.2001953125
77,2025-03-27,5693.31005859375
78,2025-03-28,5580.93994140625
79,2025-03-31,5611.85009765625
80,2025-04-01,5633.06982421875
