,CPIAUCSL,Date
0,313.016,2024-04-01
1,313.14,2024-05-01
2,313.131,2024-06-01
3,313.566,2024-07-01
4,314.131,2024-08-01
5,314.851,2024-09-01
6,315.564,2024-10-01
7,316.449,2024-11-01
8,317.603,2024-12-01
9,319.086,2025-01-01
10,319.775,2025-02-01
