,UNRATE,Date
0,3.9,2024-04-01
1,4.0,2024-05-01
2,4.1,2024-06-01
3,4.2,2024-07-01
4,4.2,2024-08-01
5,4.1,2024-09-01
6,4.1,2024-10-01
7,4.2,2024-11-01
8,4.1,2024-12-01
9,4.0,2025-01-01
10,4.1,2025-02-01
