,RSAFS,Date
0,702681,2024-04-01
1,704309,2024-05-01
2,702350,2024-06-01
3,710851,2024-07-01
4,710038,2024-08-01
5,716388,2024-09-01
6,720393,2024-10-01
7,725079,2024-11-01
8,730336,2024-12-01
9,721300,2025-01-01
10,722708,2025-02-01
