,JTSJOL,Date
0,7619,2024-04-01
1,7901,2024-05-01
2,7412,2024-06-01
3,7504,2024-07-01
4,7649,2024-08-01
5,7103,2024-09-01
6,7615,2024-10-01
7,8031,2024-11-01
8,7508,2024-12-01
9,7740,2025-01-01
