,JTS2300JOL,Date
0,326,2024-04-01
1,375,2024-05-01
2,285,2024-06-01
3,229,2024-07-01
4,304,2024-08-01
5,251,2024-09-01
6,249,2024-10-01
7,277,2024-11-01
8,205,2024-12-01
9,236,2025-01-01
