,JTS2300JOL,Date
0,229,2024-07-01
1,304,2024-08-01
2,251,2024-09-01
3,249,2024-10-01
4,277,2024-11-01
5,205,2024-12-01
6,242,2025-01-01
7,286,2025-02-01
8,248,2025-03-01
