,CPIAUCSL,Date
0,313.131,2024-06-01
1,313.566,2024-07-01
2,314.131,2024-08-01
3,314.851,2024-09-01
4,315.564,2024-10-01
5,316.449,2024-11-01
6,317.603,2024-12-01
7,319.086,2025-01-01
8,319.775,2025-02-01
9,319.615,2025-03-01
