,RSAFS,Date
0,704309,2024-05-01
1,702350,2024-06-01
2,710851,2024-07-01
3,710038,2024-08-01
4,716388,2024-09-01
5,720393,2024-10-01
6,725079,2024-11-01
7,730336,2024-12-01
8,721300,2025-01-01
9,722708,2025-02-01
